Name,Municipality,State,Country,Latitude,Longitude,ExemptFromDistanceConstraint
Joint Base Andrews,Camp Springs,MD,United States,38.8108,-76.8670,No
Joint Base Charleston,Charleston,SC,United States,32.8990,-80.0410,No
Joint Base Elmendorf-Richardson,Anchorage,AK,United States,61.2510,-149.8070,Yes
Joint Base Langley-Eustis,Hampton,VA,United States,37.0830,-76.3600,No
Joint Base Lewis-McChord,Tacoma,WA,United States,47.0858,-122.5828,No
Joint Base McGuire-Dix-Lakehurst,Trenton,NJ,United States,40.0160,-74.5920,No
Joint Base Pearl Harbor-Hickam,Honolulu,HI,United States,21.3360,-157.9470,Yes
Joint Base San Antonio,San Antonio,TX,United States,29.4595,-98.4360,No
Joint Expeditionary Base Little Creek,Virginia Beach,VA,United States,36.9180,-76.1730,No
Keesler AFB,Biloxi,MS,United States,30.4120,-88.9240,No
Kirtland AFB,Albuquerque,NM,United States,35.0500,-106.5590,No
Laughlin AFB,Del Rio,TX,United States,29.3590,-100.7780,No
Little Rock AFB,Jacksonville,AR,United States,34.9170,-92.1500,No
Los Angeles AFB,El Segundo,CA,United States,33.9160,-118.3810,No
Luke AFB,Glendale,AZ,United States,33.5350,-112.3830,No
MacDill AFB,Tampa,FL,United States,27.8490,-82.5210,No
Malmstrom AFB,Great Falls,MT,United States,47.5048,-111.1872,No
Marine Corps Air Ground Combat Center Twentynine Palms,Twentynine Palms,CA,United States,34.2390,-116.0560,No
Marine Corps Air Station Beaufort,Beaufort,SC,United States,32.4774,-80.7232,No
Marine Corps Air Station Cherry Point,Havelock,NC,United States,34.9009,-76.8807,No
Marine Corps Air Station Miramar,San Diego,CA,United States,32.8671,-117.1418,No
Marine Corps Air Station New River,Jacksonville,NC,United States,34.7080,-77.4400,No
Marine Corps Air Station Yuma,Yuma,AZ,United States,32.6566,-114.6060,No
Marine Corps Base Camp Lejeune,Jacksonville,NC,United States,34.6080,-77.3360,No
Marine Corps Base Camp Pendleton,Oceanside,CA,United States,33.3850,-117.4350,No
Marine Corps Base Hawaii,Kailua,HI,United States,21.4500,-157.7680,Yes
Marine Corps Base Quantico,Quantico,VA,United States,38.5220,-77.3050,No
Marine Corps Logistics Base Albany,Albany,GA,United States,31.5460,-84.0470,No
Marine Corps Logistics Base Barstow,Barstow,CA,United States,34.8420,-117.0240,No
Marine Corps Recruit Depot Parris Island,Beaufort,SC,United States,32.3380,-80.6890,No
Marine Corps Recruit Depot San Diego,San Diego,CA,United States,32.7400,-117.2010,No
Maxwell AFB,Montgomery,AL,United States,32.3790,-86.3660,No
McConnell AFB,Wichita,KS,United States,37.6210,-97.2670,No
Minot AFB,Minot,ND,United States,48.4159,-101.3306,No
Moody AFB,Valdosta,GA,United States,30.9670,-83.1930,No
Mountain Home AFB,Mountain Home,ID,United States,43.0430,-115.8720,No
Naval Air Station Fallon,Fallon,NV,United States,39.4166,-118.7003,No
Naval Air Station Fort Worth JRB,Fort Worth,TX,United States,32.7690,-97.4410,No
Naval Air Station Jacksonville,Jacksonville,FL,United States,30.2360,-81.6800,No
Naval Air Station Key West,Key West,FL,United States,24.5760,-81.6890,No
Naval Air Station Kingsville,Kingsville,TX,United States,27.5070,-97.8090,No
Naval Air Station Lemoore,Lemoore,CA,United States,36.3330,-119.9520,No
Naval Air Station Meridian,Meridian,MS,United States,32.5520,-88.5560,No
Naval Air Station Oceana,Virginia Beach,VA,United States,36.8206,-76.0333,No
Naval Air Station Patuxent River,Lexington Park,MD,United States,38.2860,-76.4120,No
Naval Air Station Pensacola,Pensacola,FL,United States,30.3500,-87.3050,No
Naval Air Station Whidbey Island,Oak Harbor,WA,United States,48.3520,-122.6560,No
Naval Air Station Whiting Field,Milton,FL,United States,30.7240,-87.0210,No
Naval Air Weapons Station China Lake,Ridgecrest,CA,United States,35.6850,-117.6920,No
Naval Base Coronado,Coronado,CA,United States,32.6990,-117.2150,No
Naval Base Kitsap,Bremerton,WA,United States,47.7100,-122.7080,No
Naval Base San Diego,San Diego,CA,United States,32.6800,-117.1290,No
Naval Base Ventura County,Oxnard,CA,United States,34.1200,-119.1200,No
Naval Station Everett,Everett,WA,United States,47.9920,-122.2460,No
Naval Station Great Lakes,North Chicago,IL,United States,42.3100,-87.8400,No
Naval Station Mayport,Jacksonville,FL,United States,30.3920,-81.4240,No
Naval Station Norfolk,Norfolk,VA,United States,36.9460,-76.3120,No
Naval Submarine Base Kings Bay,St. Marys,GA,United States,30.7960,-81.5160,No
Naval Submarine Base New London,Groton,CT,United States,41.3960,-72.0870,No
Naval Support Activity Bethesda,Bethesda,MD,United States,39.0010,-77.0960,No
Nellis AFB,Las Vegas,NV,United States,36.2362,-115.0343,No
Offutt AFB,Omaha,NE,United States,41.1180,-95.9120,No
Patrick SFB,Cocoa Beach,FL,United States,28.2350,-80.6100,No
Peterson SFB,Colorado Springs,CO,United States,38.8230,-104.7000,No
Picatinny Arsenal,Dover,NJ,United States,40.9300,-74.5400,No
Portsmouth Naval Shipyard,Kittery,ME,United States,43.0790,-70.7430,No
Presidio of Monterey,Monterey,CA,United States,36.5970,-121.9180,No
Redstone Arsenal,Huntsville,AL,United States,34.6856,-86.6486,No
Robins AFB,Warner Robins,GA,United States,32.6400,-83.5919,No
Schofield Barracks,Wahiawa,HI,United States,21.4936,-158.0640,Yes
Schriever SFB,Colorado Springs,CO,United States,38.8030,-104.5260,No
Scott AFB,Belleville,IL,United States,38.5450,-89.8350,No
Seymour Johnson AFB,Goldsboro,NC,United States,35.3390,-77.9610,No
Shaw AFB,Sumter,SC,United States,33.9730,-80.4730,No
Sheppard AFB,Wichita Falls,TX,United States,33.9750,-98.4920,No
Tinker AFB,Midwest City,OK,United States,35.4147,-97.3866,No
Tobyhanna Army Depot,Tobyhanna,PA,United States,41.1900,-75.4200,No
Travis AFB,Fairfield,CA,United States,38.2627,-121.9270,No
Tyndall AFB,Panama City,FL,United States,30.0696,-85.5754,No
United States Air Force Academy,Colorado Springs,CO,United States,38.9980,-104.8610,No
United States Military Academy,West Point,NY,United States,41.3915,-73.9568,No
United States Naval Academy,Annapolis,MD,United States,38.9840,-76.4840,No
Vance AFB,Enid,OK,United States,36.3390,-97.9160,No
Vandenberg SFB,Lompoc,CA,United States,34.7420,-120.5724,No
White Sands Missile Range,Las Cruces,NM,United States,32.3784,-106.4844,No
Whiteman AFB,Knob Noster,MO,United States,38.7300,-93.5480,No
Wright-Patterson AFB,Dayton,OH,United States,39.8261,-84.0488,No
